시군구,평당가격,출산율,출산율*2000
강남구,3764.808835,0.857,1714
서초구,3222.488935,1.012,2024
송파구,2840.396206,1.008,2016
용산구,2704.696787,1.005,2010
광진구,2267.469598,0.903,1806
마포구,2193.346044,0.986,1972
성동구,2168.24363,1.095,2190
동작구,2106.932697,1.012,2024
중구,2101.734171,0.946,1892
강동구,2093.653104,1.036,2072
종로구,1991.169799,0.813,1626
영등포구,1874.189035,1.085,2170
양천구,1737.49804,1.034,2068
강서구,1660.385245,1.129,2258
성북구,1641.986866,0.991,1982
관악구,1636.116581,0.833,1666
동대문구,1620.327455,0.96,1920
은평구,1591.707795,1.003,2006
강북구,1572.74998,0.922,1844
서대문구,1544.40234,0.913,1826
구로구,1522.956018,1.169,2338
금천구,1484.063037,1.086,2172
노원구,1474.820768,1.096,2192
중랑구,1468.160606,1.051,2102
도봉구,1375.91063,1.01,2020
