자치구별,평수,평당가격,,면적,평,가격,최종가격
종로구,3754.229503,,,17.27,5.233333333,"13,100",2503.184713
중구,3594.410157,,,17.27,5.233333333,"13,100",2503.184713
용산구,3561.321983,,,17.27,5.233333333,"14,200",2713.375796
성동구,2965.411381,,,17.27,5.233333333,"14,200",2713.375796
광진구,2941.321367,,,17.27,5.233333333,"14,500",2770.700637
동대문구,2651.068765,,,17.27,5.233333333,"13,300",2541.401274
중랑구,2504.765285,,,17.27,5.233333333,"14,700",2808.917197
성북구,2215.40342,,,106.06,32.13939394,"36,000",1120.120686
강북구,2129.368122,,,59.94,18.16363636,"24,700",1359.85986
도봉구,1969.347762,,,59.94,18.16363636,"22,800",1255.255255
노원구,1613.569067,,,59.94,18.16363636,"24,600",1354.354354
은평구,1706.139194,,,84.75,25.68181818,"29,650",1154.513274
서대문구,1844.247881,,,84.75,25.68181818,"30,900",1203.185841
마포구,2421.139556,,,59.94,18.16363636,"26,200",1442.442442
양천구,2165.85376,,,84.75,25.68181818,"30,000",1168.141593
강서구,1917.950887,,,59.94,18.16363636,"25,800",1420.42042
구로구,1662.141313,,,84.75,25.68181818,"33,000",1284.955752
금천구,1476.847311,,,59.94,18.16363636,"25,900",1425.925926
영등포구,2069.256345,,,106.06,32.13939394,"39,300",1222.798416
동작구,2249.524061,,,59.94,18.16363636,"26,000",1431.431431
관악구,1791.182403,,,59.87,18.14242424,"27,000",1488.224486
서초구,3644.92248,,,84.88,25.72121212,"33,500",1302.426956
강남구,4231.529858,,,59.87,18.14242424,"26,500",1460.664774
송파구,3644.92248,,,84.88,25.72121212,"34,200",1329.641847
강동구,2280.171721,,,84.88,25.72121212,"29,800",1158.576814
,,,,84.88,25.72121212,"32,000",1244.109331
,,,,84.88,25.72121212,"32,000",1244.109331
,,,,84.88,25.72121212,"33,500",1302.426956
,,,,59.87,18.14242424,"26,000",1433.105061
,,,,84.88,25.72121212,"31,500",1224.670123
,,,,59.87,18.14242424,"28,000",1543.343912
,,,,59.87,18.14242424,"27,900",1537.831969
,,,,29.64,8.981818182,"17,300",1926.11336
,,,,84.65,25.65151515,"36,000",1403.425871
,,,,72.73,22.03939394,"32,000",1451.945552
,,,,84.48,25.6,"39,700",1550.78125
,,,,84.75,25.68181818,"35,600",1386.19469
,,,,72.84,22.07272727,"35,000",1585.667216
,,,,72.73,22.03939394,"33,400",1515.46817
,,,,72.73,22.03939394,"35,000",1588.065448
,,,,84.48,25.6,"39,800",1554.6875
,,,,84.75,25.68181818,"34,800",1355.044248
,,,,84.48,25.6,"41,000",1601.5625
,,,,84.48,25.6,"41,500",1621.09375
,,,,84.93,25.73636364,"32,850",1276.404097
,,,,59.4,18,"26,500",1472.222222
,,,,84.93,25.73636364,"35,750",1389.085129
,,,,114.84,34.8,"40,000",1149.425287
,,,,59.4,18,"27,000",1500
,,,,84.93,25.73636364,"34,100",1324.973508
,,,,59.4,18,"26,000",1444.444444
,,,,59.4,18,"26,200",1455.555556
,,,,84.93,25.73636364,"33,200",1290.003532
,,,,84.93,25.73636364,"35,200",1367.714588
,,,,84.93,25.73636364,"33,800",1313.316849
,,,,59.4,18,"29,800",1655.555556
,,,,59.4,18,"27,000",1500
,,,,84.93,25.73636364,"37,000",1437.654539
,,,,84.93,25.73636364,"36,500",1418.226775
,,,,84.93,25.73636364,"37,000",1437.654539
,,,,84.93,25.73636364,"34,900",1356.05793
,,,,59.4,18,"26,500",1472.222222
,,,,84.93,25.73636364,"39,500",1534.793359
,,,,59.4,18,"28,500",1583.333333
,,,,59.4,18,"26,800",1488.888889
,,,,59.4,18,"26,600",1477.777778
,,,,59.4,18,"27,200",1511.111111
,,,,84.93,25.73636364,"35,900",1394.913458
,,,,59.4,18,"29,000",1611.111111
,,,,114.84,34.8,"40,000",1149.425287
,,,,84.93,25.73636364,"36,750",1427.940657
,,,,59.4,18,"26,500",1472.222222
,,,,59.4,18,"29,000",1611.111111
,,,,84.93,25.73636364,"37,000",1437.654539
,,,,114.84,34.8,"43,000",1235.632184
,,,,59.4,18,"28,450",1580.555556
,,,,59.4,18,"26,000",1444.444444
,,,,59.4,18,"29,000",1611.111111
,,,,84.93,25.73636364,"38,600",1499.823384
,,,,84.93,25.73636364,"38,500",1495.937831
,,,,114.84,34.8,"43,500",1250
,,,,84.93,25.73636364,"35,000",1359.943483
,,,,84.93,25.73636364,"37,000",1437.654539
,,,,59.4,18,"27,500",1527.777778
,,,,114.84,34.8,"46,000",1321.83908
,,,,59.26,17.95757576,"26,400",1470.131623
,,,,109.4,33.15151515,"41,700",1257.86106
,,,,84.97,25.74848485,"35,600",1382.605626
,,,,59.26,17.95757576,"27,500",1531.387108
,,,,84.97,25.74848485,"34,500",1339.884665
,,,,84.97,25.74848485,"35,400",1374.838178
,,,,84.97,25.74848485,"37,500",1456.396375
,,,,84.97,25.74848485,"36,700",1425.326586
,,,,84.97,25.74848485,"30,800",1196.186889
,,,,84.97,25.74848485,"33,500",1301.047429
,,,,84.97,25.74848485,"36,200",1405.907968
,,,,109.4,33.15151515,"38,000",1146.252285
,,,,59.26,17.95757576,"25,000",1392.170098
,,,,84.97,25.74848485,"37,000",1436.977757
,,,,109.4,33.15151515,"41,000",1236.745887
,,,,59.44,18.01212121,"25,800",1432.368775
,,,,59.44,18.01212121,"24,900",1382.402423
,,,,84.97,25.74848485,"36,700",1425.326586
,,,,59.44,18.01212121,"26,800",1487.886945
,,,,59.26,17.95757576,"26,700",1486.837665
,,,,59.26,17.95757576,"26,500",1475.700304
,,,,59.44,18.01212121,"26,500",1471.231494
,,,,59.26,17.95757576,"26,500",1475.700304
,,,,84.97,25.74848485,"35,500",1378.721902
,,,,99.917,30.27787879,"53,100",1753.755617
,,,,99.917,30.27787879,"53,500",1766.966582
,,,,134.914,40.8830303,"60,000",1467.601583
,,,,99.917,30.27787879,"50,500",1667.884344
,,,,99.917,30.27787879,"50,000",1651.370638
,,,,99.917,30.27787879,"48,000",1585.315812
,,,,99.917,30.27787879,"48,500",1601.829519
,,,,99.917,30.27787879,"51,000",1684.39805
,,,,99.917,30.27787879,"52,500",1733.93917
,,,,134.914,40.8830303,"65,000",1589.901715
,,,,99.917,30.27787879,"52,500",1733.93917
,,,,134.914,40.8830303,"63,250",1547.096669
,,,,99.917,30.27787879,"53,400",1763.663841
,,,,99.917,30.27787879,"50,900",1681.095309
,,,,99.917,30.27787879,"52,000",1717.425463
,,,,99.917,30.27787879,"51,800",1710.819981
,,,,99.917,30.27787879,"53,000",1750.452876
,,,,99.917,30.27787879,"50,500",1667.884344
,,,,99.917,30.27787879,"52,300",1727.333687
,,,,134.914,40.8830303,"66,500",1626.591755
,,,,99.917,30.27787879,"51,800",1710.819981
,,,,99.917,30.27787879,"55,000",1816.507701
,,,,99.917,30.27787879,"53,500",1766.966582
,,,,99.917,30.27787879,"53,300",1760.3611
,,,,99.917,30.27787879,"53,800",1776.874806
,,,,99.917,30.27787879,"53,900",1780.177547
,,,,99.917,30.27787879,"53,800",1776.874806
,,,,134.914,40.8830303,"58,000",1418.68153
,,,,134.914,40.8830303,"64,800",1585.00971
,,,,134.914,40.8830303,"62,000",1516.521636
,,,,134.914,40.8830303,"59,500",1455.37157
,,,,134.914,40.8830303,"63,200",1545.873668
,,,,99.917,30.27787879,"53,300",1760.3611
,,,,134.914,40.8830303,"65,000",1589.901715
,,,,99.917,30.27787879,"55,800",1842.929632
,,,,134.914,40.8830303,"66,800",1633.929763
,,,,134.914,40.8830303,"69,000",1687.741821
,,,,99.917,30.27787879,"54,900",1813.20496
,,,,84.69,25.66363636,"32,500",1266.38328
,,,,84.7,25.66666667,"31,000",1207.792208
,,,,84.7,25.66666667,"32,800",1277.922078
,,,,84.69,25.66363636,"32,700",1274.176408
,,,,84.69,25.66363636,"34,000",1324.831739
,,,,81.1088,24.57842424,"33,500",1362.984041
,,,,83.893,25.42212121,"35,500",1396.421632
,,,,71.848,21.77212121,"32,500",1492.734662
,,,,71.848,21.77212121,"29,500",1354.94377
,,,,71.848,21.77212121,"32,000",1469.769513
,,,,71.848,21.77212121,"29,500",1354.94377
,,,,83.893,25.42212121,"37,000",1455.425363
