자치구별,2019,2020,2021,2022
종로구,20353.47,17414.782,17105.668,16070.289
중구,61528.497,64305.134,82683.55,105000
용산구,5305.795,4631.183,5020.689,5247.462
성동구,18213.992,14582.143,13925.85,11310.446
광진구,13344.897,11006.377,11636.217,11885.94
동대문구,8985.678,8135.632,9115.859,10016.501
중랑구,11593.918,10051.424,10279.9,10191.913
성북구,15941.048,13720.262,14153.039,14432.258
강북구,5682.827,5062.541,5413.727,5731.673
도봉구,9007.605,8016.869,8470.303,8196.078
노원구,32622.101,26639.308,28413.787,31332.96
은평구,16357.908,15075.616,16278.277,16841.003
서대문구,13159.319,10900.902,11718.07,12634.265
마포구,32899.908,28328.903,31329.569,33215.821
양천구,41255.38,38545.679,42845.785,47342.783
강서구,23363.486,20493.012,22202.952,23677.962
구로구,12418.861,11012.886,13204.277,13870.238
금천구,6281.327,5330.246,5286.68,5486.539
영등포구,13961.478,10993.201,11273.189,12549.134
동작구,18502.576,14895.208,15184.872,15821.51
관악구,56885.749,50770.897,54433.361,56507.915
서초구,53865.5,47358.412,48239.324,50289.315
강남구,98385.99,104000,113000,136000
송파구,34078.299,30637.546,35960.735,38700.56
강동구,19395.479,17528.017,19944.713,21959.745
