시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,Latitude,Longitude,해제사유발생일,등기일자,거래유형,중개사소재지
서울특별시 강남구 개포동,189,189,0,개포자이프레지던스,59.98,202311,7,"216,000",12,2023,삼성로 14,37.5021244,127.05969,,,중개거래,서울 강남구
서울특별시 강남구 개포동,649,649,0,경남1,123.28,202311,15,"231,000",11,1984,언주로 110,37.4845146,127.054174,,,직거래,-
서울특별시 강남구 논현동,22,22,0,신동아(22),114.34,202310,31,"199,000",7,1997,강남대로146길 28,37.5147153,127.0226688,,,중개거래,서울 강남구
서울특별시 강남구 대치동,1031,1031,0,대치더클래스,79.52,202310,30,"170,000",3,2022,삼성로51길 10-14,37.4970318,127.0611238,,,중개거래,서울 강남구
서울특별시 강남구 대치동,1014-3,1014,3,대치삼성,59.88,202311,4,"170,000",22,2000,도곡로78길 22,37.4963866,127.058402,,,중개거래,서울 강남구
서울특별시 강남구 대치동,974,974,0,대치현대,114.59,202311,1,"277,000",13,1999,삼성로64길 5,37.5008276,127.0609734,,,중개거래,서울 강남구
서울특별시 강남구 대치동,670,670,0,동부센트레빌,161.47,202310,28,"535,000",17,2005,선릉로 206,37.4927927,127.0557447,,,중개거래,서울 강남구
서울특별시 강남구 대치동,316,316,0,은마,76.79,202311,9,"237,000",1,1979,삼성로 212,37.4974176,127.0653272,,,중개거래,서울 강남구
서울특별시 강남구 도곡동,952,952,0,대우디오빌,25.89,202310,28,"26,000",10,2004,강남대로 256,37.4864768,127.0335278,,20231102,중개거래,서울 강남구
서울특별시 강남구 도곡동,527,527,0,도곡렉슬,84.9984,202311,11,"283,700",4,2006,선릉로 221,37.4935415,127.0505473,,,중개거래,서울 강남구
서울특별시 강남구 도곡동,933,933,0,도곡쌍용예가,107.53,202311,3,"140,000",11,1978,남부순환로363길 30,37.4870433,127.0386822,,20231106,중개거래,서울 서초구
서울특별시 강남구 도곡동,May-91,91,5,삼성래미안,122.81,202311,10,"290,000",13,2001,남부순환로 2803,37.4897783,127.0506508,,,중개거래,서울 강남구
서울특별시 강남구 도곡동,467-7,467,7,아카데미스위트1,83,202310,29,"157,000",28,2004,언주로30길 21,37.4886722,127.0521024,,,중개거래,서울 강남구
서울특별시 강남구 도곡동,467,467,0,타워팰리스1,137.24,202311,11,"375,000",42,2002,언주로30길 56,37.4882228,127.0544393,,,중개거래,서울 강남구
서울특별시 강남구 삼성동,142-3,142,3,LG선릉에클라트(B),36.35,202311,1,"38,700",13,2004,테헤란로63길 12,37.506168,127.0509289,,20231115,중개거래,서울 강남구
서울특별시 강남구 삼성동,189,189,0,래미안라클래시,101.98,202311,15,"381,000",18,2021,삼성로 651,37.5021244,127.05969,,,중개거래,서울 강남구
서울특별시 강남구 삼성동,2,2,0,서광아파트,59.67,202310,28,"170,000",16,1998,선릉로130길 19,37.5170294,127.0427453,,,중개거래,서울 강남구
서울특별시 강남구 수서동,795,795,0,강남데시앙포레,84.92,202311,8,"173,000",12,2014,광평로34길 55,37.4809954,127.0908145,,,중개거래,서울 강남구
서울특별시 강남구 압구정동,397,397,0,미성2차,74.4,202311,6,"300,000",15,1987,압구정로 113,37.5239465,127.0182545,,,중개거래,"서울 강남구, 서울 성북구"
서울특별시 강남구 압구정동,397,397,0,미성2차,74.4,202311,13,"290,000",11,1987,압구정로 113,37.5239465,127.0182545,,,중개거래,서울 강남구
서울특별시 강남구 압구정동,489,489,0,한양3,117.26,202311,1,"420,000",3,1978,압구정로 321,37.5291557,127.0381668,,,중개거래,서울 강남구
서울특별시 강남구 역삼동,796-29,796,29,강남서해더블루,71.26,202311,13,"90,000",6,2012,논현로63길 16,37.4930012,127.0391173,,,중개거래,서울 강남구
서울특별시 강남구 역삼동,720-25,720,25,대우디오빌,30.03,202311,7,"31,500",7,2002,언주로 427,37.5014561,127.0426891,,,중개거래,서울 강남구
서울특별시 강남구 역삼동,824-25,824,25,대우디오빌플러스,43.99,202310,30,"45,500",11,2004,강남대로84길 33,37.4975826,127.0311106,,20231120,중개거래,서울 강남구
서울특별시 강남구 역삼동,763-16,763,16,래미안그레이튼,70.98,202311,4,"210,000",14,2009,도곡로43길 20,37.4964997,127.0481475,,,중개거래,서울 강남구
서울특별시 강남구 역삼동,709-5,709,5,테헤란아이파크,92.6232,202311,1,"319,000",14,2014,테헤란로52길 16,37.5023526,127.0467285,20231107,,중개거래,서울 강남구
서울특별시 강남구 역삼동,709-5,709,5,테헤란아이파크,92.6232,202311,1,"319,000",14,2014,테헤란로52길 16,37.5023526,127.0467285,,,중개거래,서울 강남구
서울특별시 강남구 일원동,743,743,0,디에이치자이개포,63.76,202311,4,"219,700",25,2021,영동대로 22,37.4909336,127.0751203,,,중개거래,"서울 강남구, 서울 송파구"
서울특별시 강남구 일원동,743,743,0,디에이치자이개포,84.94,202311,18,"190,000",33,2021,영동대로 22,37.4909336,127.0751203,,20231120,직거래,-
서울특별시 강남구 일원동,711,711,0,수서,52.29,202311,6,"110,000",11,1992,양재대로55길 12,37.4926339,127.0902837,,,중개거래,서울 강남구
서울특별시 강남구 일원동,615,615,0,우성7,83.69,202311,8,"192,000",1,1987,개포로110길 15,37.4922926,127.0783273,,20231117,중개거래,서울 강남구
서울특별시 강남구 청담동,44-21,44,21,청담3차이-편한세상(301동),84.97,202311,2,"162,000",2,2007,선릉로132길 54,37.5185854,127.0456373,,,중개거래,서울 강남구
