시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,,1평,시군구,평당 평균 가격(만원),,시군구,전용면적(㎡),평수,거래금액(만원),평당 가격(만원),,,,,,,
서울특별시 강남구 개포동,655-2,655,2,개포2차현대아파트(220),77.75,201612,27,"80,000",5,1988,언주로 103,,3.30579㎡,종로구,2356.47,,서울특별시 강남구 개포동,77.75,23.51941146,"80,000",3401.445659,,,,,,,
서울특별시 강남구 개포동,658-1,658,1,개포6차우성아파트1동~8동,79.97,201612,21,"89,000",5,1987,언주로 3,,,중구,2421.83,,서울특별시 강남구 개포동,79.97,24.1909625,"89,000",3679.059897,,,,,,,
서울특별시 강남구 개포동,652,652,0,개포우성3차,133.46,201612,26,"130,000",10,1984,개포로 307,,,용산구,3231.89,,서울특별시 강남구 개포동,133.46,40.37171258,"130,000",3220.076427,,,,,,,
서울특별시 강남구 개포동,12월 02일,12,2,개포자이,134.3,201612,7,"130,000",12,2004,개포로109길 69,,,성동구,2378.84,,서울특별시 강남구 개포동,134.3,40.62581297,"130,000",3199.935964,,,,,,,
서울특별시 강남구 개포동,12월 02일,12,2,개포자이,134.3,201612,16,"132,000",19,2004,개포로109길 69,,,광진구,2463.76,,서울특별시 강남구 개포동,134.3,40.62581297,"132,000",3249.165748,,,,,,,
서울특별시 강남구 개포동,141,141,0,개포주공1단지,41.98,201612,10,"94,500",4,1982,개포로 310,,,동대문구,1908.91,,서울특별시 강남구 개포동,41.98,12.69896968,"94,500",7441.548595,,,,,,,
서울특별시 강남구 개포동,141,141,0,개포주공1단지,42.55,201612,14,"94,000",1,1982,개포로 310,,,중랑구,1599.13,,서울특별시 강남구 개포동,42.55,12.87139495,"94,000",7303.015746,,,,,,,
서울특별시 강남구 개포동,141,141,0,개포주공1단지,41.98,201612,19,"94,500",2,1982,개포로 310,,,성북구,1831.3,,서울특별시 강남구 개포동,41.98,12.69896968,"94,500",7441.548595,,,,,,,
서울특별시 강남구 개포동,141,141,0,개포주공1단지,42.55,201612,21,"94,500",5,1982,개포로 310,,,강북구,1616.478,,서울특별시 강남구 개포동,42.55,12.87139495,"94,500",7341.861575,,,,,,,
서울특별시 강남구 개포동,141,141,0,개포주공1단지,58.08,201612,23,"128,500",5,1982,개포로 310,,,도봉구,1473.886,,서울특별시 강남구 개포동,58.08,17.56922723,"128,500",7313.924415,,,,,,,
