자치구별,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
종로구,500,1300,1987,2520,2445,2689,2620,4002,4563,4530
중구,4704,3981,3976,6790,5665,4952,5177,4907,4595,4112
용산구,1500,2300,1500,4479,3157,4335,3684,2920,2625,3256
성동구,700,1750,2500,6100,6444,8161,4500,7120,5368,6864
광진구,800,915,918,4400,4558,6025,5800,4848,5942,6116
동대문구,1100,2003,3210,5855,6896,7794,9422,7807,6691,6630
중랑구,1000,2120,3500,7439,8176,6000,4320,6261,6413,7410
성북구,500,1340,3000,5977,9663,8006,7663,8827,7468,6548
강북구,315,2480,2500,3674,3988,5149,4927,4387,4672,4241
도봉구,850,660,1400,4933,5992,4618,4809,5472,4951,5342
노원구,1200,4427,4176,7727,5326,8379,8497,9351,10275,10311
은평구,800,2105,2000,4405,4138,6186,3468,7581,7150,6990
서대문구,1000,2000,2000,3390,4620,4420,4069,4945,4442,4412
마포구,1550,2528,3000,4028,4310,6004,5523,6252,7055,6964
양천구,1700,2000,2820,4052,4982,6242,7277,8353,9286,9286
강서구,1300,2620,2000,5601,5163,7030,7606,7658,8563,8018
구로구,2306,2700,5860,6547,6530,6741,7843,9184,7997,7969
금천구,600,980,1300,3390,2494,4494,4498,3532,3231,2947
영등포구,1120,2220,3980,3540,5497,6550,7551,7991,8365,4695
동작구,750,800,1300,4095,5945,6887,5260,7722,5325,5279
관악구,1000,1133,1800,4247,6442,7086,6767,6259,6084,6300
서초구,2495,3228,4507,9757,10210,8293,9860,9000,9937,8949
강남구,5416,9977,10503,22006,18544,16587,18590,15961,17231,17701
송파구,1105,1630,4657,4845,5640,6476,8665,8311,9118,10320
강동구,1180,1200,2014,3835,5010,6289,6543,7713,7864,7236
