기준_년분기_코드,행정동_코드,행정동_코드_명,소득_구간_코드,교육_지출_총금액,,,자치구별,2019,2020,2021,2022
20231,11215,광진구,7,3158914000,,,종로구,20353470000,17414782000,17105668000,16070289000
20231,11440,마포구,8,8466173000,,,중구,61528497000,64305134000,82683550000,1.05088E+11
20231,11530,구로구,7,3962500000,,,용산구,5305795000,4631183000,5020689000,5247462000
20231,11560,영등포구,7,3541679000,,,성동구,18213992000,14582143000,13925850000,11310446000
20231,11620,관악구,6,14762498000,,,광진구,13344897000,11006377000,11636217000,11885940000
20231,11320,도봉구,6,2190952000,,,동대문구,8985678000,8135632000,9115859000,10016501000
20231,11545,금천구,6,1510718000,,,중랑구,11593918000,10051424000,10279900000,10191913000
20231,11590,동작구,7,4102751000,,,성북구,15941048000,13720262000,14153039000,14432258000
20231,11350,노원구,7,8882137000,,,강북구,5682827000,5062541000,5413727000,5731673000
20231,11410,서대문구,7,3328410000,,,도봉구,9007605000,8016869000,8470303000,8196078000
20231,11650,서초구,9,12909234000,,,노원구,32622101000,26639308000,28413787000,31332960000
20231,11260,중랑구,6,2840400000,,,은평구,16357908000,15075616000,16278277000,16841003000
20231,11290,성북구,7,4451281000,,,서대문구,13159319000,10900902000,11718070000,12634265000
20231,11500,강서구,7,6428158000,,,마포구,32899908000,28328903000,31329569000,33215821000
20231,11710,송파구,8,10460036000,,,양천구,41255380000,38545679000,42845785000,47342783000
20231,11200,성동구,7,2697268000,,,강서구,23363486000,20493012000,22202952000,23677962000
20231,11305,강북구,6,1531005000,,,구로구,12418861000,11012886000,13204277000,13870238000
20231,11470,양천구,8,12934401000,,,금천구,6281327000,5330246000,5286680000,5486539000
20231,11110,종로구,7,5731182000,,,영등포구,13961478000,10993201000,11273189000,12549134000
20231,11170,용산구,8,1447862000,,,동작구,18502576000,14895208000,15184872000,15821510000
20231,11230,동대문구,7,2853921000,,,관악구,56885749000,50770897000,54433361000,56507915000
20231,11380,은평구,6,4676970000,,,서초구,53865500000,47358412000,48239324000,50289315000
20231,11680,강남구,9,36072919000,,,강남구,98385990000,1.03978E+11,1.13126E+11,1.35782E+11
20231,11740,강동구,7,6359388000,,,송파구,34078299000,30637546000,35960735000,38700560000
20231,11140,중구,7,26460302000,,,강동구,19395479000,17528017000,19944713000,21959745000
20191,11170,용산구,8,1310382000,,,,,,,
20191,11590,동작구,7,4423610000,,,,,,,
20191,11650,서초구,9,13132179000,,,,,,,
20191,11230,동대문구,7,2198068000,,,,,,,
20191,11290,성북구,7,4129709000,,,,,,,
20191,11410,서대문구,7,3085583000,,,,,,,
20191,11500,강서구,7,5934858000,,,,,,,
20191,11710,송파구,8,8250436000,,,,,,,
20191,11215,광진구,7,3246204000,,,,,,,
20191,11305,강북구,6,1432802000,,,,,,,
20191,11380,은평구,7,4053701000,,,,,,,
20191,11440,마포구,8,8329360000,,,,,,,
20191,11350,노원구,7,8278967000,,,,,,,
20191,11530,구로구,7,3046696000,,,,,,,
