자치구별,2015,2016,2017,2018,2019,2020
강동구,1.036,0.938,0.884,0.82,0.758,0.748
송파구,1.008,0.958,0.871,0.8,0.77,0.665
강남구,0.857,0.802,0.706,0.631,0.612,0.537
서초구,1.012,0.928,0.799,0.8,0.715,0.656
관악구,0.833,0.777,0.662,0.597,0.536,0.474
동작구,1.012,0.912,0.831,0.737,0.697,0.655
영등포구,1.085,1.011,0.884,0.851,0.829,0.705
금천구,1.086,0.944,0.901,0.796,0.709,0.668
구로구,1.169,1.07,0.943,0.838,0.794,0.737
강서구,1.129,1.059,0.925,0.826,0.76,0.675
양천구,1.034,1.008,0.898,0.771,0.742,0.644
마포구,0.986,0.945,0.806,0.733,0.681,0.594
서대문구,0.913,0.934,0.823,0.727,0.685,0.685
은평구,1.003,0.943,0.814,0.772,0.697,0.623
노원구,1.096,1.068,0.938,0.809,0.776,0.695
도봉구,1.01,0.947,0.833,0.774,0.697,0.601
강북구,0.922,0.878,0.825,0.647,0.617,0.55
성북구,0.991,0.909,0.818,0.737,0.707,0.676
중랑구,1.051,0.995,0.906,0.825,0.777,0.66
동대문구,0.96,0.889,0.822,0.753,0.765,0.699
광진구,0.903,0.867,0.749,0.713,0.652,0.527
성동구,1.095,1.013,0.972,0.909,0.855,0.783
용산구,1.005,0.907,0.793,0.747,0.713,0.634
중구,0.946,0.974,0.824,0.737,0.78,0.688
종로구,0.813,0.784,0.646,0.606,0.648,0.522
