자치구별,,,,,2019년 월 평균 소득 금액,2020년 월 평균 소득 금액,자치구별,2019년 20~50 인구 비율,2020년 20~50 인구 비율,,인구수(2019),인구수(2020)
강동구,1789818.395,1750246.189,3363867.75,3292856.999,7.88218E+11,8.12111E+11,강동구,0.53207157,0.53152815,강동구,234319,246628
송파구,2271348.421,2200111.759,4093743.249,3995904.999,1.55074E+12,1.48271E+12,송파구,0.554834117,0.550591608,송파구,378808,371058
강남구,2857974.517,2760274.501,5081066.249,4943841.001,1.57248E+12,1.50174E+12,강남구,0.56247535,0.558325905,강남구,309479,303760
서초구,2780949.44,2671022.507,5073802.499,4912400.999,1.21001E+12,1.14594E+12,서초구,0.548099663,0.543730552,서초구,238482,233274
관악구,1754162.82,1679295.049,2896389.5,2771927,9.07488E+11,8.5611E+11,관악구,0.60563775,0.605822249,관악구,313317,308850
동작구,2001453.784,1933455.081,3560849.25,3454170,8.18418E+11,7.76421E+11,동작구,0.562072035,0.559745201,동작구,229838,224778
영등포구,2100034.198,2034333.321,3719552.251,3604886.999,8.42084E+11,8.2872E+11,영등포구,0.564593278,0.564326516,영등포구,226394,229888
금천구,1495112.404,1432226.018,2728136.499,2632284.999,3.76499E+11,3.54956E+11,금천구,0.54803431,0.544099905,금천구,138006,134847
구로구,1670030.443,1595292.744,3100507.25,2994059,7.33453E+11,6.89945E+11,구로구,0.538631362,0.532819408,구로구,236559,230438
강서구,1789340.843,1747343.045,3228515.25,3160622.999,1.07051E+12,1.02377E+12,강서구,0.554230259,0.552847665,강서구,331581,323914
양천구,2065988.87,1985993.614,3903733.249,3796033.999,9.55076E+11,9.0915E+11,양천구,0.52923413,0.523175929,양천구,244657,239500
마포구,2299151.353,2249563.195,3918788.75,3832436,8.873E+11,8.59014E+11,마포구,0.586699488,0.586979977,마포구,226422,224143
서대문구,1896689.281,1873731.555,3454084.75,3417706,6.12955E+11,6.05125E+11,서대문구,0.549114865,0.548242463,서대문구,177458,177056
은평구,1576478.694,1534275.339,2984510.251,2912739.001,7.63876E+11,7.42655E+11,은평구,0.528220231,0.526746591,은평구,255947,254968
노원구,1725879.758,1662179.226,3294129,3195374.999,9.2732E+11,8.76022E+11,노원구,0.523925978,0.520182835,노원구,281507,274153
도봉구,1457941.624,1448766.936,2879481.249,2903325.251,4.8933E+11,4.7427E+11,도봉구,0.50632093,0.49900263,도봉구,169937,163354
강북구,1342244.731,1288328.66,2622149.499,2547460,4.26424E+11,4.01403E+11,강북구,0.511887187,0.505730673,강북구,162624,157570
성북구,1820509.937,1774130.346,3357420.251,3281772.999,8.27866E+11,7.93136E+11,성북구,0.542234752,0.540601177,성북구,246578,241679
중랑구,1418765.685,1364856.11,2675807.749,2598785,5.70378E+11,5.45345E+11,중랑구,0.530219589,0.525190083,중랑구,213161,209846
동대문구,1699709.988,1666371.738,3085508.499,3030256.001,6.17034E+11,5.94918E+11,동대문구,0.550868678,0.549911208,동대문구,199978,196326
광진구,1919575.803,1855742.768,3294456.5,3192970.999,7.04431E+11,6.6827E+11,광진구,0.582668432,0.581196249,광진구,213823,209294
성동구,2150634.429,2091421.343,3808551.75,3734499,6.64501E+11,6.28483E+11,성동구,0.564685626,0.560027287,성동구,174476,168291
용산구,2274741.611,2219944.738,4057210.25,3971498,5.57733E+11,5.43098E+11,용산구,0.560666436,0.558969119,용산구,137467,136749
중구,1977832.676,1928769.318,3583999.5,3513603.001,2.6995E+11,2.5968E+11,중구,0.551850712,0.54894344,중구,75321,73907
종로구,2063446.294,2016982.413,3797616.749,3725859,3.34008E+11,3.20692E+11,종로구,0.543352958,0.541346952,종로구,87952,86072
