자치구별,2015년 1인당 지역내총생산(천원),2016년 1인당 지역내총생산(천원),2017년 1인당 지역내총생산(천원),2018년 1인당 지역내총생산(천원),2019년 1인당 지역내총생산(천원),2020년 1인당 지역내총생산(천원),
강동구,16722,18158,19003,21123,22807,23271,
송파구,36980,39565,42470,44826,46033,46082,
강남구,115245,119401,124197,135157,141362,147023, 
서초구,72294,77393,81170,85327,87695,89823,
관악구,10734,10829,11167,11400,11663,12090,
동작구,13391,14620,15421,15982,16197,16559,
영등포구,73982,76026,81069,87124,91575,101354,
금천구,59434,63306,65565,69247,70750,69304,
구로구,26919,28168,30375,31963,32692,32587,
강서구,17802,19924,28823,30233,30176,29043,
양천구,13448,13822,14634,15449,16083,16015,
마포구,47012,50254,50721,52827,54027,55185,
서대문구,24235,24620,25894,26183,27023,27137,
은평구,8076,9053,9645,10219,10582,10953,
노원구,9903,10532,11343,11883,12551,12432,
도봉구,8506,9193,9929,10135,10438,10872,
강북구,8571,9289,9694,10286,10743,11135,
성북구,11762,12705,13319,13736,13894,14158,
중랑구,9479,10233,10723,11305,12174,12340,
동대문구,17996,19858,20224,20244,21033,20791,
광진구,15417,16619,16802,17482,18211,18062,
성동구,34653,36165,35634,38084,40100,38886,
용산구,43882,46434,52939,54775,56571,57688,
중구,387717,412792,406119,422166,417483,443361,
종로구,181807,188763,196232,204380,218704,223603,
